,Genotype,Location,InfectionStatus,Block,IFNg,IL-5,TNF-a,IL-6,IL-17A,IL-22
271,C57,Lab,Uninfected,Block2,2.286881148,3.727920455,4.725741157,2.408711861,3.384049807,1.422233001
275,C57,SF,Uninfected,Block2,1.952333566,2.767654798,3.08236197,2.176322773,3.339137385,4.781359714
274,C57,SF,Uninfected,Block2,0.98550043,4.359661722,2.659924558,2.967168608,2.861955364,2.59454855
273,C57,SF,Infected,Block2,4.196921734,4.169925001,4.599912842,3.66106548,4.534808661,7.20867332
272,C57,Lab,Infected,Block2,5.028127082,6.090218302,4.287620044,2.49057013,4.319039816,3.5360529
288,C57,SF,Infected,Block2,2.912649865,1.531069493,4.715344295,6.259460816,4.171527106,3.952333566
286,C57,Lab,Infected,Block2,7.768449015,3.032100843,5.168321116,2.767654798,5.386810946,5.400196342
287/269,C57,SF,Uninfected,Block2,0.879705766,1.613531653,3.426264755,2.432959407,6.304328503,1.778208576
290,C57,Lab,Uninfected,Block2,1.910732662,2.117695043,3.543495883,1.918386234,4.865918815,3.648465443
289,C57,SF,Infected,Block2,6.771093252,3.217230716,5.087038457,2.087462841,3.40599236,0.389566812
279,C57,Lab,Infected,Block2,2.307428525,2.722466024,4.698774109,2.680324357,6.576522138,0.23878686
277/270,C57,SF,Infected,Block2,4.66106548,3.148934105,4.232660757,3.826802684,2.220329955,2.965322548
276,C57,Lab,Uninfected,Block2,1.459431619,1.90303827,4.687060688,2.851998837,6.773468928,1.604071324
280,C57,SF,Uninfected,Block2,0.150559677,3.451540833,3.386810946,5.152994605,5.408711861,4.206330648
285,C57,Lab,Infected,Block2,6.528415039,2.464668267,5.010779839,3.241840184,3.813524689,4.272769732
284,C57,SF,Infected,Block2,5.242983516,4.493134922,4.409390936,6.740657772,5.74899785,4.773468928
282,C57,SF,Infected,Block2,9.10891644,3.135863165,5.896029603,3.666756592,4.356848079,4.518535139
295,C57,Lab,Infected,Block2,7.549977143,3.028569152,4.760220946,2.87774425,3.784503983,4.564378169
293,C57,Lab,Uninfected,Block2,0.111031312,1.974529312,1.584962501,2.140778656,2.572889668,3.665620164
292,C57,SF,Infected,Block2,0.111031312,4.051372102,3.001802243,4.791814071,2.292781749,3.529820947
296,C57,Lab,Uninfected,Block2,0.97819563,1.981852653,1.584962501,2.173127433,3.372952098,4.816599707
300,C57,SF,Infected,Block2,10.45007712,3.063502942,5.717539343,5.495375381,6.39848719,8.032321287
299,C57,Lab,Infected,Block2,4.040015679,2.707082992,3.635754391,2.454175893,2.763411574,5.130519083
298,C57,SF,Uninfected,Block2,5.0725346,3.09085343,3.171527106,2.13422094,4.561326136,2.49057013
297,C57,SF,Infected,Block2,1.604071324,3.434294618,3.161887682,4.60940039,3.773996325,4.832383717
105,129SL,Lab,Uninfected,Block2,0.111031312,3.612352499,2.389566812,1.803227036,0.895302621,0.23878686
106,129SL,SF,Infected,Block2,0.263034406,6.362119167,2.869871406,4.804260116,2.375734539,6.579994693
107,129SL,Lab,Infected,Block2,3.861955364,4.967168608,1.584962501,6.361768359,7.435545257,0.23878686
104/170,129SL,SF,Uninfected,Block2,5.02989455,8.015972508,1.584962501,6.97234802,7.607330314,2.545968369
116,129SL,Lab,Uninfected,Block2,0.111031312,4.042644337,3.166715445,2.220329955,3.371558863,0.23878686
118,129SL,SF,Infected,Block2,0.641546029,6.352264173,1.584962501,3.828834649,2.739848103,0.23878686
115,129SL,Lab,Infected,Block2,0.111031312,4.292045492,3.066950244,3.204766751,2.942983598,0.23878686
114,129SL,SF,Uninfected,Block2,1.176322773,6.525912261,1.589763487,2.845991771,3.690417096,0.432959407
110,129SL,SF,Infected,Block2,0.111031312,6.34020618,1.584962501,2.625270489,0.250961574,4.292781749
113,129SL,Lab,Uninfected,Block2,0.748461233,5.069530325,3.688180359,2.885574364,2.771885579,0.23878686
111,129SL,SF,Uninfected,Block2,0.321928095,5.12763328,3.64038956,3.548436625,6.570462931,5.621465834
112,129SL,Lab,Infected,Block2,2.952333566,5.100136671,1.584962501,2.381283373,1.948600847,0.23878686
123,129SL,SF,Uninfected,Block2,0.918386234,7.854619084,1.584962501,3.316145742,1.263034406,0.23878686
120,129SL,SF,Infected,Block2,0.111031312,7.093179847,1.584962501,2.192194165,1.182692298,0.23878686
122/168,129SL,SF,Infected,Block2,4.676380255,5.102238194,2.13093087,3.410069692,2.17951105,3.198494154
121,129SL,Lab,Infected,Block2,3.244887059,4.992315252,3.701549057,2.13422094,1.250961574,2.972692654
119,129SL,Lab,Uninfected,Block2,0.150559677,4.34553831,3.187451054,1.929790998,3.676944359,2.438292852
102,129SL,Lab,Uninfected,Block2,5.285402219,5.638942669,3.363171077,8.59324171,8.715035349,0.23878686
101,129SL,Lab,Infected,Block2,0.773996325,4.308885057,3.787641414,3.529820947,4.252476214,2.063502942
103/124,129SL,SF,Infected,Block2,0.014355293,3.780310099,2.017921908,1.799087306,0.641546029,1.641546029
316,PWK,SF,Infected,Block2,1.500802053,2.933572638,2.916476644,4.200064862,5.928370323,5.969012308
314,PWK,SF,Infected,Block2,1.794935663,2.95419631,3.060047384,5.596935142,2.837943242,4.352617299
307,PWK,SF,Uninfected,Block2,0.111031312,2.748461233,3.716990894,6.348905161,0.90303827,3.553360503
308,PWK,Lab,Infected,Block2,0.137503524,1.361768359,2.843983844,3.229587923,0.250961574,0.23878686
309,PWK,Lab,Infected,Block2,0.613531653,3.90303827,2.073820233,3.13422094,5.116447936,4.21490191
306,PWK,Lab,Uninfected,Block2,0.678071905,0.613531653,1.584962501,2.897240426,5.494095545,4.177120503
303,PWK,Lab,Uninfected,Block2,0.111031312,4.583158004,1.584962501,4.358255587,2.443606651,4.178714641
304/374,PWK,SF,Uninfected,Block2,1.575312331,3.171527106,1.584962501,5.017031081,3.735522177,4.730639956
301,PWK,Lab,Infected,Block2,0.111031312,1.269033146,1.584962501,2.994579724,2.049630768,0.23878686
302/362,PWK,SF,Infected,Block2,3.258518925,2.924099886,4.310340121,5.640100298,4.595145568,3.541019153
319,PWK,Lab,Infected,Block2,2.613531653,0.150559677,4.006298024,7.193870285,5.984817174,4.533563348
317/375,PWK,SF,Infected,Block2,1.40599236,3.09085343,3.0721058,6.541638734,6.381802483,6.006746832
318,PWK,SF,Infected,Block2,1.372952098,2.403267722,4.06091205,5.357903839,5.983449691,5.937108946
321/361,PWK,Lab,Uninfected,Block2,0.111031312,1.40599236,3.538538164,2.295723025,1.321928095,2.998195503
320,PWK,SF,Uninfected,Block2,0.111031312,2.500802053,1.584962501,3.609991295,3.150559677,4.66618849
323,PWK,Lab,Infected,Block2,0.111031312,1.570462931,1.584962501,3.203201156,2.66448284,3.388189537
325/363,PWK,Lab,Uninfected,Block2,0.201633861,1.748461233,1.584962501,4.152183419,3.489286023,1.622930351
324,PWK,SF,Infected,Block2,0.695993813,2.229587923,3.911691582,5.572586549,5.904484098,8.09724207
360,PWK,SF,Infected,Block2,3.232660757,1.843983844,4.20867332,5.545041683,5.343052435,5.720825666
310,PWK,SF,Infected,Block2,0.111031312,1.618238656,1.584962501,5.539469035,4.637494325,3.042644337
311,PWK,SF,Uninfected,Block2,0.263034406,2.970853654,2.09423607,3.217230716,3.845991771,4.089159132
313,PWK,Lab,Uninfected,Block2,0.111031312,1.137503524,4.426264755,5.024585638,5.073391816,4.072963272
312,PWK,Lab,Infected,Block2,3.184280294,1.97819563,2.301587647,3.270528942,3.798050515,0.555816155
33,C57,SF,Uninfected,Block1,0.124328135,6.530289278,3.358958826,3.424922088,5.092968509,5.57500972
402,C57,SF,Uninfected,Block1,0.831877241,3.485426827,2.589763487,4.607034346,1.622930351,0.40053793
403,C57,Lab,Uninfected,Block1,0.871843649,0.485426827,3.277984747,4.207111961,4.170726276,4.553974808
404,C57,Lab,Infected,Block1,2.503348735,1.835924074,2.111031312,4.34269696,2.09085343,4.194559886
405,C57,Lab,Uninfected,Block1,1.416839742,2.754887502,2.350497247,3.776103988,2.307428525,2.084064265
406,C57,SF,Infected,Block1,7.419960178,2.592158002,4.019701914,10.0863353,2.944858446,4.374343989
407,C57,SF,Infected,Block1,6.733489926,4.279471296,3.667892125,2.827819025,1.996388746,2.498250868
408,C57,SF,Uninfected,Block1,0.925999419,1.632268215,2.263034406,5.049195106,1.516015147,0.50589093
409,C57,Lab,Infected,Block1,1.084064265,2.007195501,2.959770155,6.480426705,2.895302621,3.575312331
410,C57,Lab,Infected,Block1,1.063502942,2.010779839,2.66448284,5.376776572,3.279471296,2.895302621
411,C57,SF,Infected,Block1,3.415488271,2.448900951,1.244887059,3.40599236,1.819668183,2.495695163
412,C57,SF,Uninfected,Block1,0.941106311,3.909773104,2.769771739,4.308156975,1.981852653,2.111031312
413,C57,SF,Infected,Block1,3.969933275,1.124328135,3.019701914,10.13679891,2.253989266,1.367371066
477,C57,Lab,Uninfected,Block1,1.070389328,0.485426827,1.807354922,3.448900951,2.324810603,1.007195501
415,C57,SF,Uninfected,Block1,0.948600847,2.286881148,2.22342255,4.842978832,2.124328135,1.361768359
416,C57,SF,Infected,Block1,4.828834649,1.22650853,2.851998837,5.356495988,4.043519494,3.132576843
417,C57,Lab,Uninfected,Block1,1.063502942,0.722466024,1.722466024,4.51916445,1.86393845,1.304511042
419,C57,Lab,Infected,Block1,12.58944048,0.485426827,4.891905188,5.793115555,1.944858446,4.524815928
420,C57,Lab,Infected,Block1,3.203201156,0.485426827,2.073820233,3.347665656,1.859969548,1.63691458
421,C57,SF,Uninfected,Block1,1.070389328,5.778997006,4.407352751,4.71918344,4.970393538,1.839959587
422,C57,Lab,Uninfected,Block1,0.695993813,1.613531653,0.070389328,3.905928478,2.731183242,1.59454855
423,C57,SF,Infected,Block1,4.51412226,2.427606173,3.073820233,5.068240861,1.765534746,3.267535798
424,C57,SF,Infected,Block1,4.370164281,4.59812696,3.465974465,5.201633861,2.737686761,4.309612772
425,129SL,SF,Infected,Block1,4.797012978,5.346602375,2.987320866,3.894332742,1.448900951,4.716990894
426,129SL,Lab,Infected,Block1,4.727920455,4.714795011,2.189033824,3.224966365,2.50589093,3.695993813
427,129SL,SF,Uninfected,Block1,1.176322773,6.296457407,2.480265122,3.619413011,1.350497247,0.516015147
428,129SL,Lab,Uninfected,Block1,0.839959587,3.659924558,2.272023189,0.5360529,0.555816155,1.250961574
429,129SL,SF,Infected,Block1,2.66448284,3.7473874,2.689299161,3.814550423,0.82374936,0.495695163
433,129SL,Lab,Infected,Block1,0.641546029,5.073820233,2.147306699,2.195347598,1.790772038,2.025028794
434,129SL,Lab,Uninfected,Block1,0.59454855,4.554588852,1.744161096,0.565597176,1.438292852,2.819668183
435,129SL,Lab,Uninfected,Block1,0.887525271,4.883132016,1.608809243,2.283921772,2.344828497,4.114367025
N/A,129SL,SF,Uninfected,Block1,0.831877241,3.710393192,1.550900665,2.910732662,1.521050737,0.137503524
437,129SL,SF,Infected,Block1,1.063502942,4.280213996,2.684818738,3.75595577,1.757023247,3.241840184
438,129SL,Lab,Infected,Block1,0.887525271,4.393004257,1.560714954,0.5360529,0.575312331,0.137503524
440,129SL,Lab,Infected,Block1,0.871843649,2.95419631,1.996388746,1.316145742,0.925999419,3.440952198
441,129SL,SF,Uninfected,Block1,0.722466024,4.521678952,0.070389328,3.797012978,2.883620816,0.137503524
478,129SL,Lab,Uninfected,Block1,0.739848103,2.622930351,1.275007047,1.389566812,0.411426246,2.087462841
475,129SL,SF,Uninfected,Block1,0.475084883,4.257764969,1.189033824,3.35614381,1.650764559,1.495695163
445,129SL,Lab,Uninfected,Block1,0.545968369,3.691534165,2.137503524,1.176322773,1.40599236,2.89917563
446,129SL,SF,Uninfected,Block1,7.758489739,4.650764559,2.114367025,3.830863757,1.550900665,2.709290636
447,129SL,Lab,Infected,Block1,0.584962501,4.836934011,2.247927513,1.35614381,1.378511623,2.22650853
476/500,129SL,SF,Infected,Block1,3.702657543,4.100136671,2.066950244,3.777156666,5.427606173,1.713695815
450,PWK,SF,Uninfected,Block1,1.070389328,2.263034406,3.765534746,3.632268215,1.560714954,1.495695163
451,PWK,Lab,Infected,Block1,0.555816155,0.485426827,1.622930351,3.765534746,3.365972428,1.244887059
452,PWK,SF,Infected,Block1,0.799087306,0.687060688,0.464668267,4.030336078,1.028569152,0.163498732
453,PWK,SF,Infected,Block1,0.704871964,0.485426827,0.084064265,4.327687364,0.86393845,1.220329955
454,PWK,Lab,Uninfected,Block1,0.367371066,1.815575429,2.321928095,3.575312331,1.23878686,0.137503524
455,PWK,Lab,Infected,Block1,0.545968369,0.485426827,0.298658316,2.49057013,1.22650853,0.137503524
456,PWK,Lab,Uninfected,Block1,0.378511623,0.485426827,1.411426246,2.776103988,0.704871964,0.137503524
459,PWK,SF,Uninfected,Block1,0.250961574,1.815575429,3.017921908,3.702657543,0.773996325,0.137503524
460,PWK,Lab,Infected,Block1,0.310340121,0.555816155,0.070389328,1.475084883,0.669026766,0.137503524
461,PWK,Lab,Uninfected,Block1,0.545968369,0.389566812,1.627606838,1.182692298,1.454175893,0.275007047
464,PWK,SF,Infected,Block1,1.163498732,0.485426827,2.150559677,4.199279721,0.35614381,1.275007047
465,PWK,SF,Uninfected,Block1,0.40053793,0.485426827,2.952333566,3.72900887,1.40053793,1.097610797
466,PWK,SF,Infected,Block1,0.124328135,0.485426827,0.070389328,3.43162296,1.097610797,0.137503524
467,PWK,Lab,Infected,Block1,0.286881148,0.575312331,1.14404637,5.288358562,2.46727948,2.521050737
468,PWK,Lab,Uninfected,Block1,0.432959407,0.669026766,1.292781749,1.021479727,0.948600847,1.35614381
470,PWK,Lab,Infected,Block1,1.117695043,0.485426827,0.839959587,2.201633861,0.378511623,0.137503524
471,PWK,SF,Uninfected,Block1,0.839959587,0.485426827,2.733354341,2.59454855,0.799087306,0.137503524
472,PWK,Lab,Uninfected,Block1,0.084064265,0.485426827,0.070389328,1.321928095,0.298658316,0.137503524
474,PWK,SF,Infected,Block1,0.678071905,0.485426827,2.150559677,2.440952198,0.97819563,0.443606651